species_id,formula,name,casno,charge,point_group,multiplicity,s_squared,closed_shell,n_electrons,n_atoms,geometry_source,geometry_method,xyz,cheapest_energy_method,cheapest_energy_basis,cheapest_energy,best_energy_method,best_energy_basis,best_energy
AlCl+_13595818,AlCl,aluminum monochloride cation,13595818,1,C∞v,2,0.75,0,29,2,experimental,,"Al 0.000000 0.000000 0.000000
Cl 0.000000 0.000000 2.130100",HF,6-31G*,-701.144854,MP4,cc-pVTZ,-701.449663
AlCl-_13595818,AlCl,aluminum monochloride anion,13595818,-1,C∞v,2,0.75,0,31,2,experimental,,"Al 0.000000 0.000000 0.000000
Cl 0.000000 0.000000 2.130100",HF,6-31G*,-701.435492,MP3=FULL,6-31+G**,-701.65588
AlCl2F_13497966,AlCl2F,Aluminum dichloride fluoride,13497966,0,C2v,1,0.0,1,56,4,calculated,CCSD(T)/6-31G*,"Al 0.000000 0.000000 0.352200
F 0.000000 0.000000 1.998800
Cl 0.000000 1.806500 -0.663700
Cl 0.000000 -1.806500 -0.663700",HF,STO-3G,-1246.442877,CCSD(T),6-31G*,-1261.051164
AlCl3_7446700,AlCl3,Aluminum trichloride,7446700,0,D3h,1,0.0,1,64,4,experimental,,"Al 0.000000 0.000000 0.000000
Cl 0.000000 2.060000 0.000000
Cl 1.784000 -1.030000 0.000000
Cl -1.784000 -1.030000 0.000000",HF,STO-3G,-1603.027065,CCSD(T),6-31G*,-1621.057264
AlClF2_13814658,AlClF2,Aluminum chloride difluoride,13814658,0,C2v,1,0.0,1,48,4,calculated,CCSD(T)/6-31G*,"Al 0.000000 0.000000 -0.417900
Cl 0.000000 0.000000 1.650300
F 0.000000 1.414200 -1.256900
F 0.000000 -1.414200 -1.256900",HF,STO-3G,-889.850907,CCSD(T),6-31G*,-901.043601
AlCl_13595818,AlCl,Aluminum monochloride,13595818,0,C∞v,1,0.0,1,30,2,experimental,,"Al 0.000000 0.000000 0.000000
Cl 0.000000 0.000000 2.130100",HF,STO-3G,-693.65695,CCSD(T)=FULL,aug-cc-pVQZ,-701.922754
AlF+_13595829,AlF,Aluminum monofluoride cation,13595829,1,C∞v,2,0.75,0,21,2,experimental,,"Al 0.000000 0.000000 0.000000
F 0.000000 0.000000 1.654400",HF,6-31G*,-341.094626,MP4,cc-pVTZ,-341.449307
AlF-_13595829,AlF,Aluminum monofluoride anion,13595829,-1,C∞v,2,0.75,0,23,2,experimental,,"Al 0.000000 0.000000 0.000000
F 0.000000 0.000000 1.654400",HF,6-31G*,-341.369111,MP4,cc-pVTZ,-341.778105
AlF3_7784181,AlF3,Aluminum trifluoride,7784181,0,D3h,1,0.0,1,40,4,experimental,,"Al 0.000000 0.000000 0.000000
F 0.000000 1.630000 0.000000
F 1.411600 -0.815000 0.000000
F -1.411600 -0.815000 0.000000",HF,STO-3G,-533.249764,CCSD(T)=FULL,aug-cc-pVQZ,-541.73535
AlF_13595829,AlF,Aluminum monofluoride,13595829,0,C∞v,1,0.0,1,22,2,experimental,,"Al 0.000000 0.000000 0.000000
F 0.000000 0.000000 1.654400",HF,STO-3G,-337.042636,CCSD(T)=FULL,aug-cc-pVQZ,-341.920076
AlGa_39399558,AlGa,Aluminum Gallium,39399558,0,C∞v,3,2.009,0,44,2,calculated,CCSD(T)=FULL/aug-cc-pVQZ,"Al 0.000000 0.000000 -1.682400
Ga 0.000000 0.000000 0.705500",HF,STO-3G,-2139.942422,CCSD(T)=FULL,aug-cc-pVQZ,-2165.54493
AlH+_13967221,AlH,aluminum monohydride cation,13967221,1,C∞v,2,0.75,0,13,2,experimental,,"Al 0.000000 0.000000 0.000000
H 0.000000 0.000000 1.647800",HF,6-31G*,-242.17321,MP4,cc-pVTZ,-242.24004
AlH-_13967221,AlH,aluminum monohydride anion,13967221,-1,C∞v,2,0.75,0,15,2,experimental,,"Al 0.000000 0.000000 0.000000
H 0.000000 0.000000 1.647800",HF,6-31G*,-242.419123,MP4,cc-pVTZ,-242.538565
AlH2+_14457659,AlH2,aluminum dihydride cation,14457659,1,C2v,1,0.0,1,14,3,experimental,,"Al 0.000000 0.000000 0.000000
H 0.000000 1.370000 0.807000
H 0.000000 -1.370000 0.807000",HF,STO-3G,-239.978169,CCSD(T)=FULL,6-31G*,-242.825177
AlH2-_14457659,AlH2,aluminum dihydride anion,14457659,-1,C2v,1,0.0,1,16,3,experimental,,"Al 0.000000 0.000000 0.000000
H 0.000000 1.370000 0.807000
H 0.000000 -1.370000 0.807000",HF,STO-3G,-239.827052,CCSD(T)=FULL,6-31G*,-243.091573
AlH2_14457659,AlH2,aluminum dihydride,14457659,0,C2v,2,0.75,0,15,3,experimental,,"Al 0.000000 0.000000 0.000000
H 0.000000 1.370000 0.807000
H 0.000000 -1.370000 0.807000",HF,STO-3G,-240.103747,CCSD(T),cc-pVTZ,-243.124893
AlH3+_7784216,AlH3,aluminum trihydride cation,7784216,1,D3h,2,0.751,0,15,4,calculated,CCSD(T)=FULL/6-31G*,"Al 0.000000 0.000000 0.121700
H 0.000000 0.000000 -2.080900
H 0.000000 1.561900 0.249500
H 0.000000 -1.561900 0.249500",HF,6-31G*,-243.223932,CCSD(T)=FULL,6-31G*,-243.298685
AlH3-_7784216,AlH3,aluminum trihydride anion,7784216,-1,D3h,2,0.75,0,17,4,calculated,CCSD(T)=FULL/6-31G*,"Al 0.000000 0.000000 0.092500
H 0.000000 1.573200 -0.400700
H 1.362400 -0.786600 -0.400700
H -1.362400 -0.786600 -0.400700",HF,STO-3G,-240.419506,CCSD(T)=FULL,6-31G*,-243.685396
AlH3O3_21645512,AlH3O3,Aluminum hydroxide,21645512,0,C3h,1,0.0,1,40,7,calculated,CCSD(T)=FULL/6-31G*,"Al 0.000000 0.000000 0.000000
O 0.000000 1.711400 0.000000
O -1.482100 -0.855700 0.000000
O 1.482100 -0.855700 0.000000
H -0.840300 2.192300 0.000000
H -1.478500 -1.823900 0.000000
H 2.318800 -0.368400 0.000000",HF,STO-3G,-462.387626,CCSD(T)=FULL,6-31G*,-469.033152
AlH3_7784216,AlH3,aluminum trihydride,7784216,0,D3h,1,0.0,1,16,4,calculated,CCSD(T)=FULL/cc-pCVTZ,"Al 0.000000 0.000000 0.000000
H 0.000000 1.577800 0.000000
H 1.366400 -0.788900 0.000000
H -1.366400 -0.788900 0.000000",HF,STO-3G,-240.728422,CCSD(T)=FULL,aug-cc-pVQZ,-243.837885
AlH4-_19469819,AlH4,Aluminum tetrahydride anion,19469819,-1,,1,0.0,1,18,5,calculated,CCSD(T)/cc-pV(T+d)Z,"Al 0.000000 0.000000 0.000000
H 0.949100 0.949100 0.949100
H -0.949100 -0.949100 0.949100
H -0.949100 0.949100 -0.949100
H 0.949100 -0.949100 -0.949100",HF,STO-3G,-241.167317,CCSD(T)=FULL,6-31G*,-244.316549
AlH_13967221,AlH,aluminum monohydride,13967221,0,C∞v,1,0.0,1,14,2,experimental,,"Al 0.000000 0.000000 0.000000
H 0.000000 0.000000 1.647800",HF,STO-3G,-239.515226,CCSD(T)=FULL,cc-pV(T+d)Z,-242.64713
AlI_29977411,AlI,Aluminum monoiodide,29977411,0,C∞v,1,0.0,1,66,2,experimental,,"Al 0.000000 0.000000 0.000000
I 0.000000 0.000000 2.537100",HF,STO-3G,-7089.747257,QCISD,3-21G*,-7128.776871
AlLi_12042374,AlLi,Lithium Aluminum,12042374,0,C∞v,1,0.0,1,16,2,calculated,CCSD(T)=FULL/daug-cc-pVTZ,"Li 0.000000 0.000000 -2.295100
Al 0.000000 0.000000 0.529600",HF,STO-3G,-246.3049,CCSD(T)=FULL,aug-cc-pVQZ,-249.459149
AlN+_24304005,AlN,aluminum mononitride cation,24304005,1,C∞v,2,0.896,0,19,2,experimental,,"Al 0.000000 0.000000 0.000000
N 0.000000 0.000000 1.786400",HF,6-31G*,-295.948702,MP4,cc-pVTZ,-296.170693
AlN-_24304005,AlN,aluminum mononitride anion,24304005,-1,C∞v,2,1.07,0,21,2,experimental,,"Al 0.000000 0.000000 0.000000
N 0.000000 0.000000 1.786400",HF,6-31G*,-296.257804,MP4,cc-pVTZ,-296.573049
AlN_24304005,AlN,Aluminum nitride,24304005,0,C∞v,3,2.002,0,20,2,experimental,,"Al 0.000000 0.000000 0.000000
N 0.000000 0.000000 1.786400",HF,STO-3G,-292.633967,CCSD(T)=FULL,aug-cc-pVTZ,-296.614499
AlNa_39422247,AlNa,Sodium aluminum,39422247,0,C∞v,1,0.0,1,24,2,calculated,CCSD(T)=FULL/aug-cc-pCVTZ,"Na 0.000000 0.000000 -1.699900
Al 0.000000 0.000000 1.438300",HF,STO-3G,-398.603117,CCSD(T)=FULL,aug-cc-pVQZ,-403.876639
AlO+_14457648,AlO,aluminum monoxide cation,14457648,1,C∞v,1,0.0,1,20,2,experimental,,"Al 0.000000 0.000000 0.000000
O 0.000000 0.000000 1.617900",HF,STO-3G,-312.549061,CCSD(T)=FULL,cc-pVQZ,-316.821482
AlO-_14457648,AlO,Aluminum monoxide anion,14457648,-1,C∞v,1,0.0,1,22,2,experimental,,"Al 0.000000 0.000000 0.000000
O 0.000000 0.000000 1.617900",HF,STO-3G,-312.513964,CCSD(T)=FULL,cc-pVQZ,-317.276409
AlO_14457648,AlO,Aluminum monoxide,14457648,0,C∞v,2,0.753,0,21,2,experimental,,"Al 0.000000 0.000000 0.000000
O 0.000000 0.000000 1.617900",HF,STO-3G,-312.772547,CCSD(T),cc-pVTZ,-317.08254
AlP_20859738,AlP,Aluminum monophosphide,20859738,0,C∞v,3,2.002,0,28,2,experimental,,"Al 0.000000 0.000000 0.000000
P 0.000000 0.000000 2.400000",HF,STO-3G,-575.784086,CCSD(T)=FULL,aug-cc-pVQZ,-582.933171
AlS+_12251900,AlS,aluminum monosulfide cation,12251900,1,C∞v,1,0.0,1,28,2,experimental,,"Al 0.000000 0.000000 0.000000
S 0.000000 0.000000 2.029000",HF,STO-3G,-631.934891,CCSD(T)=FULL,6-31G*,-639.289817
AlS-_12251900,AlS,aluminum monosulfide anion,12251900,-1,C∞v,1,0.0,1,30,2,experimental,,"Al 0.000000 0.000000 0.000000
S 0.000000 0.000000 2.029000",HF,STO-3G,-631.929931,CCSD(T)=FULL,6-31G*,-639.705543
AlS_12251900,AlS,Aluminum sulfide,12251900,0,C∞v,2,0.75,0,29,2,experimental,,"Al 0.000000 0.000000 0.000000
S 0.000000 0.000000 2.029000",HF,STO-3G,-632.125326,CCSD(T),cc-pVTZ,-639.728199
Al_7429905,Al,Aluminum atom,7429905,0,Kh,2,0.75,0,13,1,single atom,,Al 0.000000 0.000000 0.000000,HF,STO-3G,-238.858362,CCSD(T)=FULL,aug-cc-pVQZ,-241.964119
Ar+_7440371,Ar,Argon atom cation,7440371,1,Kh,2,0.75,0,17,1,experimental,,Ar 0.000000 0.000000 0.000000,HF,6-31G*,-526.235041,MP3=FULL,6-31+G**,-526.372751
Ar-_7440371,Ar,Argon atom anion,7440371,-1,Kh,2,0.75,0,19,1,experimental,,Ar 0.000000 0.000000 0.000000,HF,6-31G*,-526.186851,CCSD(T)=FULL,cc-pVDZ,-526.184456
Ar2+_12595594,Ar2,Argon diatomic cation,12595594,1,D∞h,2,0.75,0,35,2,experimental,,"Ar 0.000000 0.000000 0.000000
Ar 0.000000 0.000000 3.758000",HF,STO-3G,-1041.995537,CCSD(T)=FULL,aug-cc-pVQZ,-1053.747454
Ar2_12595594,Ar2,Argon diatomic,12595594,0,D∞h,1,0.0,1,36,2,experimental,,"Ar 0.000000 0.000000 0.000000
Ar 0.000000 0.000000 3.758000",HF,STO-3G,-1042.445761,CCSD(T)=FULL,aug-cc-pVQZ,-1054.275832
ArH+_12254681,ArH,Argon hydride cation,12254681,1,,1,0.0,1,18,2,calculated,CCSD(T)=FULL/daug-cc-pVTZ,"Ar 0.000000 0.000000 0.067400
H 0.000000 0.000000 -1.212700",HF,STO-3G,-521.383544,CCSD(T)=FULL,aug-cc-pVQZ,-527.288683
ArH2_13939156,ArH2,H2 Ar dimer,13939156,0,C∞v,1,0.0,1,20,3,calculated,CCSD(T)=FULL/aug-cc-pVQZ,"Ar 0.000000 0.000000 0.351200
H 0.000000 0.000000 -2.790000
H 0.000000 0.000000 -3.532100",HF,STO-3G,-522.340388,CCSD(T)=FULL,aug-cc-pVQZ,-528.311922
Ar_7440371,Ar,Argon atom,7440371,0,Kh,1,0.0,1,18,1,experimental,,Ar 0.000000 0.000000 0.000000,HF,STO-3G,-521.222881,CCSD(T)=FULL,aug-cc-pVQZ,-527.137635
As+_7440382,As,Arsenic cation,7440382,1,Kh,3,2.0,0,32,1,single atom,,As 0.000000 0.000000 0.000000,HF,STO-3G,-2209.006328,CCSD(T)=FULL,aug-cc-pVQZ,-2234.155938
As-_7440382,As,Arsenic anion,7440382,-1,Kh,3,2.0,0,34,1,single atom,,As 0.000000 0.000000 0.000000,HF,STO-3G,-2209.00841,CCSD(T)=FULL,aug-cc-pVQZ,-2234.55021
As2_23878468,As2,Arsenic diatomic,23878468,0,D∞h,1,0.0,1,66,2,experimental,,"As 0.000000 0.000000 0.000000
As 0.000000 0.000000 2.102600",HF,STO-3G,-4418.560861,CCSD(T)=FULL,aug-cc-pVTZ,-4469.034523
As4_12187085,As4,Arsenic tetramer,12187085,0,Td,1,0.0,1,132,4,experimental,,"As 0.860900 0.860900 0.860900
As 0.860900 -0.860900 -0.860900
As -0.860900 0.860900 -0.860900
As -0.860900 -0.860900 0.860900",HF,STO-3G,-8837.266197,CCSD(T)=FULL,aug-cc-pVTZ,-8938.181242
AsBr3_7784330,AsBr3,Arsenic tribromide,7784330,0,C3v,1,0.0,1,138,4,experimental,,"As 0.000000 0.000000 0.301000
Br 0.000000 2.290100 -0.094600
Br 1.983300 -1.145000 -0.094600
Br -1.983300 -1.145000 -0.094600",,,,,,
AsCl3_7784341,AsCl3,Arsenous trichloride,7784341,0,C3v,1,0.0,1,84,4,experimental,,"As 0.000000 0.000000 0.635500
Cl 0.000000 1.895700 -0.411200
Cl 1.641700 -0.947900 -0.411200
Cl -1.641700 -0.947900 -0.411200",HF,STO-3G,-3573.130906,CCSD(T)=FULL,aug-cc-pVTZ,-3613.924046
AsCl_17522780,AsCl,Arsenic monochloride,17522780,0,C∞v,3,2.0,0,50,2,calculated,CCSD(T)=FULL/aug-cc-pVQZ,"As 0.000000 0.000000 0.728800
Cl 0.000000 0.000000 -1.414800",HF,STO-3G,-2663.891168,CCSD(T)=FULL,aug-cc-pVQZ,-2694.396979
AsF3H+_9000917,AsF3H,"Arsenic trifluoride, protonated",9000917,1,,1,0.0,1,60,5,calculated,CCSD(T)=FULL/aug-cc-pVTZ,"As 0.000000 0.000000 0.248800
H 0.000000 0.000000 1.720900
F 0.000000 1.511200 -0.367800
F 1.308800 -0.755600 -0.367800
F -1.308800 -0.755600 -0.367800",HF,STO-3G,-2503.704314,CCSD(T)=FULL,aug-cc-pVTZ,-2534.110975
AsF3_7784352,AsF3,Arsenic trifluoride,7784352,0,C3v,1,0.0,1,60,4,experimental,,"As 0.000000 0.000000 0.392500
F 0.000000 1.466200 -0.479700
F 1.269800 -0.733100 -0.479700
F -1.269800 -0.733100 -0.479700",HF,STO-3G,-2503.390392,CCSD(T)=FULL,aug-cc-pVTZ,-2533.894464
AsF5_7784363,AsF5,Arsenic pentafluoride,7784363,0,D3h,1,0.0,1,78,6,calculated,CCSD(T)=FULL/cc-pVTZ,"As 0.000000 0.000000 0.000000
F 0.000000 1.666800 0.000000
F 1.443500 -0.833400 0.000000
F -1.443500 -0.833400 0.000000
F 0.000000 0.000000 1.691600
F 0.000000 0.000000 -1.691600",HF,STO-3G,-2699.361797,CCSD(T)=FULL,cc-pVTZ,-2733.339341
AsF_15120135,AsF,Arsenic monofluoride,15120135,0,C∞v,3,2.0,0,42,2,experimental,,"As 0.000000 0.000000 0.000000
F 0.000000 0.000000 1.736000",HF,STO-3G,-2307.291298,CCSD(T)=FULL,aug-cc-pVQZ,-2334.346715
AsGa_1303000,AsGa,Gallium arsenide,1303000,0,C∞v,3,2.0,0,64,2,experimental,,"Ga 0.000000 0.000000 0.000000
As 0.000000 0.000000 2.530000",HF,STO-3G,-4110.126663,CCSD(T)=FULL,aug-cc-pVQZ,-4158.120483
AsH+_12628089,AsH,Arsenic monohydride cation,12628089,1,C∞v,2,0.75,0,33,2,experimental,,"As 0.000000 0.000000 0.000000
H 0.000000 0.000000 1.534700",HF,STO-3G,-2209.571217,CCSD(T)=FULL,aug-cc-pVQZ,-2234.778661
AsH2+_14644452,AsH2,Arsenic dihydride cation,14644452,1,C2v,1,0.0,1,34,3,calculated,CCSD(T)=FULL/aug-cc-pVQZ,"As 0.000000 0.000000 0.059400
H 0.000000 1.068800 -0.979500
H 0.000000 -1.068800 -0.979500",HF,STO-3G,-2210.156463,CCSD(T)=FULL,aug-cc-pVQZ,-2235.41314
AsH2_14644452,AsH2,Arsenic dihydride,14644452,0,C2v,2,0.75,0,35,3,calculated,CCSD(T)=FULL/aug-cc-pVQZ,"As 0.000000 0.000000 0.059500
H 0.000000 1.062700 -0.982600
H 0.000000 -1.062700 -0.982600",HF,TZVP,-2235.339265,MP3=FULL,6-31+G**,-2233.285983
AsH3+_7784421,AsH3,Arsine cation,7784421,1,C3v,2,0.75,0,35,4,experimental,,"As 0.000000 0.000000 0.070000
H 0.000000 1.255800 -0.770000
H 1.087500 -0.627900 -0.770000
H -1.087500 -0.627900 -0.770000",HF,STO-3G,-2210.773404,CCSD(T)=FULL,aug-cc-pVQZ,-2236.038431
AsH3_7784421,AsH3,Arsine,7784421,0,C3v,1,0.0,1,36,4,experimental,,"As 0.000000 0.000000 0.070000
H 0.000000 1.255800 -0.770000
H 1.087500 -0.627900 -0.770000
H -1.087500 -0.627900 -0.770000",HF,STO-3G,-2211.014035,CCSD(T)=FULL,aug-cc-pVTZ,-2236.30481
AsH4+_53250401,AsH4,Arsonium,53250401,1,,1,0.0,1,36,5,calculated,CCSD(T)=FULL/daug-cc-pVTZ,"As 0.000000 0.000000 0.000000
H 0.848900 0.848900 0.848900
H -0.848900 -0.848900 0.848900
H -0.848900 0.848900 -0.848900
H 0.848900 -0.848900 -0.848900",HF,STO-3G,-2211.396864,CCSD(T)=FULL,aug-cc-pVQZ,-2236.701116
AsH_12628089,AsH,Arsenic monohydride,12628089,0,C∞v,3,2.0,0,34,2,experimental,,"As 0.000000 0.000000 0.000000
H 0.000000 0.000000 1.534700",HF,STO-3G,-2209.830419,CCSD(T)=FULL,aug-cc-pVQZ,-2235.136065
AsN_26754983,AsN,Arsenic mononitride,26754983,0,C∞v,1,0.0,1,40,2,experimental,,"N 0.000000 0.000000 0.000000
As 0.000000 0.000000 1.618400",HF,STO-3G,-2262.967707,CCSD(T)=FULL,aug-cc-pVQZ,-2289.267603
AsO2_12255128,AsO2,Aresenic dioxide,12255128,0,C2v,2,0.753,0,49,3,calculated,CCSD(T)=FULL/aug-cc-pVTZ,"As 0.000000 0.000000 0.235200
O 0.000000 1.463700 -0.485100
O 0.000000 -1.463700 -0.485100",HF,STO-3G,-2356.826514,CCSD(T)=FULL,aug-cc-pVTZ,-2384.755135
AsO_12005991,AsO,Arsenic monoxide,12005991,0,C∞v,2,0.75,0,41,2,calculated,CCSD(T)=FULL/aug-cc-pVTZ,"As 0.000000 0.000000 0.317500
O 0.000000 0.000000 -1.309800",HF,6-31G*,-2306.789744,MP3=FULL,6-31+G**,-2307.130382
AsP_12255333,AsP,Arsenic monophosphide,12255333,0,C∞v,1,0.0,1,48,2,calculated,CCSD(T)=FULL/aug-cc-pVQZ,"As 0.000000 0.000000 0.625400
P 0.000000 0.000000 -1.375900",HF,STO-3G,-2546.16092,CCSD(T)=FULL,aug-cc-pVQZ,-2575.568181
AsS_12044790,AsS,Arsenic monosulfide,12044790,0,C∞v,2,0.777,0,49,2,calculated,CCSD(T)=FULL/aug-cc-pVTZ,"As 0.000000 0.000000 0.662100
S 0.000000 0.000000 -1.365500",HF,STO-3G,-2602.423138,CCSD(T)=FULL,cc-pVQZ,-2632.389716
AsSe_12006052,AsSe,Arsenic monoselenide,12006052,0,C∞v,2,0.787,0,67,2,calculated,CCSD(T)=FULL/aug-cc-pVTZ,"As 0.000000 0.000000 -1.086200
Se 0.000000 0.000000 1.054300",HF,STO-3G,-4582.826799,CCSD(T)=FULL,aug-cc-pVTZ,-4634.67596
As_7440382,As,Arsenic atomic,7440382,0,Kh,4,3.75,0,33,1,single atom,,As 0.000000 0.000000 0.000000,HF,STO-3G,-2209.263673,CCSD(T)=FULL,aug-cc-pVQZ,-2234.523294
B+_7440428,B,Boron atom cation,7440428,1,Kh,1,0.0,1,4,1,single atom,,B 0.000000 0.000000 0.000000,HF,STO-3G,-23.94847,CCSD(T)=FULL,aug-cc-pVQZ,-24.320029
B-_7440428,B,Boron atom anion,7440428,-1,Kh,3,2.0,0,6,1,single atom,,B 0.000000 0.000000 0.000000,HF,6-31G*,-24.464623,MP4,aug-cc-pVTZ,-24.604149
B12H12--_12356137,B12H12,Dodecahydrododecaborate(2-),12356137,-2,,1,0.0,1,74,24,calculated,HF/6-31G*,"B 0.000000 0.000000 1.707300
B 0.897600 -1.235400 0.763500
B -0.897600 -1.235400 0.763500
B -1.452300 0.471900 0.763500
B 0.000000 1.527100 0.763500
B 1.452300 0.471900 0.763500
B 0.000000 0.000000 -1.707300
B 1.452300 -0.471900 -0.763500
B 0.897600 1.235400 -0.763500
B -0.897600 1.235400 -0.763500
B -1.452300 -0.471900 -0.763500
B 0.000000 -1.527100 -0.763500
H 0.000000 0.000000 2.910600
H 1.530200 -2.106100 1.301700
H -1.530200 -2.106100 1.301700
H -2.475900 0.804500 1.301700
H 0.000000 2.603300 1.301700
H 2.475900 0.804500 1.301700
H 0.000000 0.000000 -2.910600
H 2.475900 -0.804500 -1.301700
H 1.530200 2.106100 -1.301700
H -1.530200 2.106100 -1.301700
H -2.475900 -0.804500 -1.301700
H 0.000000 -2.603300 -1.301700",HF,6-31G*,-303.283321,,,
B12H12--_84912390,B12H12,Dodecahydrododecaborate(2-),84912390,-2,,1,0.0,1,74,24,calculated,CCSD(T)/aug-cc-pVDZ,"B 0.000000 0.000000 1.722100
B 0.000000 1.540300 0.770200
B 1.464900 0.476000 0.770200
B 0.905400 -1.246100 0.770200
B -0.905400 -1.246100 0.770200
B -1.464900 0.476000 0.770200
B 0.000000 0.000000 -1.722100
B -0.905400 1.246100 -0.770200
B -1.464900 -0.476000 -0.770200
B 0.000000 -1.540300 -0.770200
B 1.464900 -0.476000 -0.770200
B 0.905400 1.246100 -0.770200
H 0.000000 0.000000 2.939400
H 0.000000 2.629100 1.314500
H 2.500400 0.812400 1.314500
H 1.545300 -2.127000 1.314500
H -1.545300 -2.127000 1.314500
H -2.500400 0.812400 1.314500
H 0.000000 0.000000 -2.939400
H -1.545300 2.127000 -1.314500
H -2.500400 -0.812400 -1.314500
H 0.000000 -2.629100 -1.314500
H 2.500400 -0.812400 -1.314500
H 1.545300 2.127000 -1.314500",HF,STO-3G,-299.506013,CCSD(T),"6-311+G(3df,2p)",-304.941063
B2+_14452610,B2,Boron diatomic cation,14452610,1,D∞h,2,0.751,0,9,2,experimental,,"B 0.000000 0.000000 0.000000
B 0.000000 0.000000 1.590000",HF,STO-3G,-48.209086,CCSD(T)=FULL,aug-cc-pVQZ,-49.017463
B2-_14452610,B2,Boron diatomic anion,14452610,-1,D∞h,4,3.75,0,11,2,experimental,,"B 0.000000 0.000000 0.000000
B 0.000000 0.000000 1.590000",HF,6-31G*,-49.126237,CCSD(T),cc-pV(T+d)Z,-49.35976
B2Cl4_13701672,B2Cl4,Diboron tetrachloride,13701672,0,C1,1,0.0,1,78,6,experimental,,"B 0.000000 0.000000 0.851000
B 0.000000 0.000000 -0.851000
Cl 0.000000 1.514000 1.728600
Cl 0.000000 -1.514000 1.728600
Cl 1.514000 0.000000 -1.728600
Cl -1.514000 0.000000 -1.728600",HF,STO-3G,-1867.225781,CCSD(T)=FULL,cc-pVTZ,-1888.824516
B2F4_13965736,B2F4,Diboron tetrafluoride,13965736,0,D2,1,0.0,1,46,6,experimental,,"B 0.000000 0.000000 0.860000
B 0.000000 0.000000 -0.860000
F 0.000000 1.124100 1.546200
F 0.000000 -1.124100 1.546200
F 0.000000 -1.124100 -1.546200
F 0.000000 1.124100 -1.546200",HF,"6-31G(2df,p)",-447.393472,CCSD(T),6-311G*,-448.484369
